Country,Issuer,Denomination,Year,Mintmark,Subject,"Value, USD (CoinSnap) ",Krause Number,Value (MY),Grading,Note,Obverse photo,Reverse photo
SU,USSR,1 ruble,1965,No mintmark,20th Anniversary of World War II,0.76,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/4a8fb3d3-90c8-4f50-80a0-d2ad795655dd.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/5b1d3c46-f298-4ea0-8449-17cc9db24d97.png
SU,USSR,1 ruble,1970,No mintmark,100th Anniversary - Birth of Vladimir Lenin,0.7,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d7695365-2d2e-4bd1-a284-bc8b89ede99e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/841bf2fa-a58d-4b82-9162-84d357ed287f.png
SU,USSR,5 kopeks,1955,No mintmark,Common series,0.72,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/41282b7b-edf9-40ee-bec9-242d7ebfe1e6.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/4fe98657-131a-4f4a-97f6-fb6ea8916299.png
SU,USSR,3 kopeks,1943,No mintmark,Common series,0.64,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/6061e2ee-675e-446e-966a-7c090f5eaa99.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/252b633f-0483-4711-b083-9dd619520f86.png
SU,USSR,15 kopeks,1952,No mintmark,Common series,0.36,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/27add853-f7ff-4bfd-9b11-2f04b2634321.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/de5224c9-94a5-43d0-82f1-ede4addc6a81.png
SU,USSR,20 kopeks,1924,No mintmark,Common series,2.47,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d4e75654-f578-402e-ad49-8fdf3bfa2afa.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/fa3361fd-1d00-4db7-8629-c907b8a5e166.png
SU,USSR,1 ruble,1964,No mintmark,Common series,0.25,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/44a9387d-d8ec-4c86-810c-0ce9fc6c3167.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/cda495ed-9029-4779-a75a-b9cb4a349330.png
SU,USSR,50 kopeks,1961,No mintmark,Common series,2.71,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/ead530c5-6aa8-4052-8777-f78b65f532fa.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/17d27421-ae83-47e4-b446-9451d796914f.png
SU,USSR,20 kopeks,1961,No mintmark,Common series,0.09,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/0b613028-0c71-48d6-bc13-9c69604620da.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/4af593cc-9da9-45e9-a809-0e5c1a8f55ac.png
SU,USSR,15 kopeks,1961,No mintmark,Common series,0.13,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/66e487d9-f792-4c4a-90d8-228591bcd3b2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/e0e85591-092f-49e9-9060-6960eeee669b.png
